epoch,train_loss,accuracy,f1_macro,kappa_qw,auc_macro_ovr,lr
1,1.960858320957277,0.26590909090909093,0.13009542309386063,-0.07013088493846431,0.4599466544799733,1.7817948013544082e-07
2,1.5371058775738973,0.4909090909090909,0.1736630923555863,0.21033795006150224,0.6449897787831447,3.5635896027088165e-07
3,1.4343037883246816,0.5181818181818182,0.21811251563720777,0.3607289969298767,0.7807227350809975,5.345384404063225e-07
4,1.4114021922320854,0.5545454545454546,0.29593964602436906,0.512737050665157,0.8544430360050917,7.127179205417633e-07
5,1.38101949994157,0.5840909090909091,0.34252765318528255,0.5998264982020176,0.8867418993580335,7.087376853882653e-07
6,1.254776889172996,0.634090909090909,0.4185704369635886,0.6768766324073132,0.9017743316501317,6.968858918039599e-07
7,1.2282250183384593,0.6818181818181818,0.47716540429478405,0.767481801487588,0.914155442256904,6.77427289273021e-07
8,1.208793803017314,0.7159090909090909,0.5317228005260459,0.8226397112101886,0.924218243213704,6.507965508216173e-07
9,1.207042408454709,0.7431818181818182,0.555742530820371,0.8414893410790099,0.9324725183621686,6.175885631407821e-07
10,1.2089877424589017,0.7727272727272727,0.608757848890099,0.8714679509112154,0.9381871653702406,5.785451378007579e-07
11,1.120126317884864,0.7818181818181819,0.6101003847587381,0.8723132852860515,0.9431761791249788,5.345384404063225e-07
12,1.1150585230385386,0.7909090909090909,0.6187334355236506,0.878728832027895,0.9472249056779649,4.865515078583891e-07
13,1.1063153908310868,0.7977272727272727,0.6344323044076398,0.8880535307661973,0.9504165044676449,4.3565628893405934e-07
14,1.0033930998313718,0.8068181818181818,0.6539300853463059,0.8916817108734898,0.9528233180081432,3.829896987222855e-07
15,1.0170162337000777,0.8136363636363636,0.6839804001567987,0.8953736113224775,0.9542090485873892,3.2972822181947783e-07
16,1.0876207695937739,0.8159090909090909,0.6926612296648665,0.8935330225923945,0.9559525337273771,2.7706163160770395e-07
17,0.9972604844628311,0.8204545454545454,0.7077274997084645,0.8950421739628258,0.9565501513081364,2.2616641268337427e-07
18,1.0156465309422191,0.8204545454545454,0.7040637018289368,0.8929981498788838,0.9575672757009954,1.781794801354409e-07
19,0.9860356537888689,0.8272727272727273,0.70846547314578,0.8971563770042422,0.9583878100585119,1.3417278274100538e-07
20,0.9918720906536753,0.8295454545454546,0.7110881322723237,0.8977656120695143,0.9585836190893693,9.512935740098122e-08
21,0.9681376608988134,0.8295454545454546,0.7078810020593991,0.8990028700392303,0.9588309521051464,6.192136972014615e-08
22,0.9901344972703515,0.8363636363636363,0.7237030352729652,0.9038479943342415,0.9588383715509462,3.5290631268742285e-08
23,1.0056768645600576,0.8386363636363636,0.7259093836427646,0.9045991378210851,0.9586987079166868,1.5832028737803398e-08
24,1.0040479105565605,0.8409090909090909,0.728123076828836,0.9053495057140855,0.9586889197742561,3.9802351534979975e-09
25,0.9275168713127695,0.8386363636363636,0.7250707609414208,0.9030529753035539,0.9588943074910432,0.0
