model,temperature,ece_pre,ece_post,acc
resnet50,0.9999774098396301,0.06986372199925506,0.06986318907954472,0.884090909090909
efficientnet_b3,0.9356480836868286,0.22779559140855615,0.2196627182716673,0.49318181818181817
vit_base,0.857117235660553,0.0707136713645675,0.05147601921450008,0.8363636363636363
