epoch,train_loss,accuracy,f1_macro,kappa_qw,auc_macro_ovr,lr
1,1.8628559140461247,0.10227272727272728,0.03711340206185567,0.0,0.5276512194470889,2.5e-05
2,1.4169301837246593,0.10227272727272728,0.03711340206185567,0.0,0.7410808993883669,5e-05
3,1.2848024155453939,0.2431818181818182,0.19932308889321143,0.43940643033800497,0.840706179210971,4.665063509461097e-05
4,1.2183280220991228,0.5954545454545455,0.34393371627660113,0.778031107092784,0.8822063439014054,3.7500000000000003e-05
5,1.0969073237442388,0.6113636363636363,0.3746222372319054,0.812590040714062,0.9070766723291754,2.5e-05
6,0.9971363953555502,0.6227272727272727,0.39127973711244,0.8185995664177583,0.926065299519987,1.2500000000000006e-05
7,0.9928506569164556,0.6636363636363637,0.473706956775975,0.8340156666125609,0.9368045304803377,3.3493649053890326e-06
8,0.9956588212455191,0.7136363636363636,0.5566871250314955,0.8545248441337616,0.9427478403647995,0.0
