id_code,model,method,degradation,level,variant,stability,insertion_auc
9c72ed6befa0,resnet50,gradcam,blur,mid,genai,0.017024267795733336,0.24515255292256674
9c72ed6befa0,resnet50,gradcam,blur,high,raw,0.4977429598105905,0.05156813828895489
9c72ed6befa0,resnet50,gradcam,blur,high,clahe,-0.002253777971542155,0.24648664171497026
9c72ed6befa0,resnet50,gradcam,blur,high,genai,0.478885981817458,0.1478458439310392
9c72ed6befa0,resnet50,gradcam,exposure,low,raw,0.3603861083944794,0.06930249389261006
9c72ed6befa0,resnet50,gradcam,exposure,low,clahe,0.2599235939243817,0.3301397380729516
9c72ed6befa0,resnet50,gradcam,exposure,low,genai,-0.05996453960926066,0.2741236686706543
9c72ed6befa0,resnet50,gradcam,exposure,mid,raw,0.2644545245841566,0.1460517656058073
9c72ed6befa0,resnet50,gradcam,exposure,mid,clahe,-0.18156030177537427,0.27107670009136203
9c72ed6befa0,resnet50,gradcam,exposure,mid,genai,-0.10721719122458702,0.3236030757427216
9c72ed6befa0,resnet50,gradcam,exposure,high,raw,-0.14759551291427342,0.14949159175157548
9c72ed6befa0,resnet50,gradcam,exposure,high,clahe,-0.07862863449773906,0.2628533182044824
9c72ed6befa0,resnet50,gradcam,exposure,high,genai,-0.011476384686930964,0.24554262782136596
9c72ed6befa0,resnet50,gradcam,noise,low,raw,0.25933753779297136,0.3362394822140535
9c72ed6befa0,resnet50,gradcam,noise,low,clahe,0.041845232484535026,0.3921550999085109
9c72ed6befa0,resnet50,gradcam,noise,low,genai,-0.07169522736735351,0.3444874862829844
9c72ed6befa0,resnet50,gradcam,noise,mid,raw,0.11148319343812953,0.3343752664824327
9c72ed6befa0,resnet50,gradcam,noise,mid,clahe,0.0400268293913476,0.3318090796470642
9c72ed6befa0,resnet50,gradcam,noise,mid,genai,0.05114150101414713,0.3942149053017298
9c72ed6befa0,resnet50,gradcam,noise,high,raw,-0.2932947844119276,0.37377425606052084
9c72ed6befa0,resnet50,gradcam,noise,high,clahe,-0.15075499846421705,0.24241482143600782
9c72ed6befa0,resnet50,gradcam,noise,high,genai,-0.1564198812862031,0.4408401479323705
3823acc4e464,resnet50,gradcam,blur,low,raw,0.8853741953712008,0.7207121908664703
3823acc4e464,resnet50,gradcam,blur,low,clahe,0.7498744750183397,0.44254646450281143
3823acc4e464,resnet50,gradcam,blur,low,genai,0.7366562037309332,0.7664302647113801
3823acc4e464,resnet50,gradcam,blur,mid,raw,0.8265361750671604,0.7449998160203297
3823acc4e464,resnet50,gradcam,blur,mid,clahe,0.4929424579263772,0.4248825475573539
3823acc4e464,resnet50,gradcam,blur,mid,genai,0.758681949929861,0.7720219641923906
3823acc4e464,resnet50,gradcam,blur,high,raw,0.7629753449850157,0.8110101342201234
3823acc4e464,resnet50,gradcam,blur,high,clahe,-0.11601594218496936,0.2312939703464508
3823acc4e464,resnet50,gradcam,blur,high,genai,0.6752485031267433,0.8086630076169967
3823acc4e464,resnet50,gradcam,exposure,low,raw,0.7936976988735392,0.8612034738063814
3823acc4e464,resnet50,gradcam,exposure,low,clahe,0.8880389769876775,0.7004947627584139
3823acc4e464,resnet50,gradcam,exposure,low,genai,0.7446070427873496,0.7760335048039755
3823acc4e464,resnet50,gradcam,exposure,mid,raw,0.9329598223369278,0.8446878135204315
3823acc4e464,resnet50,gradcam,exposure,mid,clahe,0.8360085199222398,0.6333604882160823
3823acc4e464,resnet50,gradcam,exposure,mid,genai,0.8770233259588329,0.6180634240309398
3823acc4e464,resnet50,gradcam,exposure,high,raw,0.8520778180845935,0.5915074922144413
3823acc4e464,resnet50,gradcam,exposure,high,clahe,0.156580378246838,0.2863948535174131
3823acc4e464,resnet50,gradcam,exposure,high,genai,0.8169001673996447,0.46914015114307406
3823acc4e464,resnet50,gradcam,noise,low,raw,0.8248648970887394,0.5460961952805518
3823acc4e464,resnet50,gradcam,noise,low,clahe,0.8468571513335288,0.47876455982526145
3823acc4e464,resnet50,gradcam,noise,low,genai,0.6998578528616801,0.5034452304244041
3823acc4e464,resnet50,gradcam,noise,mid,raw,0.8460165640477132,0.5879014084736505
3823acc4e464,resnet50,gradcam,noise,mid,clahe,0.6322608333905325,0.6094892551501592
3823acc4e464,resnet50,gradcam,noise,mid,genai,0.5867423412501895,0.5379753232002259
3823acc4e464,resnet50,gradcam,noise,high,raw,0.7178134281114154,0.40782815466324485
3823acc4e464,resnet50,gradcam,noise,high,clahe,0.31576452130668725,0.29943461616834005
3823acc4e464,resnet50,gradcam,noise,high,genai,0.6744127215823569,0.4201144471764564
4fef9ed8a4c5,resnet50,gradcam,blur,low,raw,0.21359640320135073,0.10102860056795178
4fef9ed8a4c5,resnet50,gradcam,blur,low,clahe,0.5516215206732272,0.3715886518359184
4fef9ed8a4c5,resnet50,gradcam,blur,low,genai,0.4270516783020048,0.08885006968242427
4fef9ed8a4c5,resnet50,gradcam,blur,mid,raw,0.08624550125144252,0.038211507132897775
4fef9ed8a4c5,resnet50,gradcam,blur,mid,clahe,0.46497099856132607,0.24073415199915563
4fef9ed8a4c5,resnet50,gradcam,blur,mid,genai,0.08207611739355726,0.034644112798074875
4fef9ed8a4c5,resnet50,gradcam,blur,high,raw,0.3564722123577152,0.021046707895584403
4fef9ed8a4c5,resnet50,gradcam,blur,high,clahe,-0.28117804574025607,0.10094996541738509
4fef9ed8a4c5,resnet50,gradcam,blur,high,genai,0.0874631159662204,0.018460906328012547
4fef9ed8a4c5,resnet50,gradcam,exposure,low,raw,0.9666157842493545,0.12495767863777776
4fef9ed8a4c5,resnet50,gradcam,exposure,low,clahe,0.38407424831603676,0.4484308357040087
4fef9ed8a4c5,resnet50,gradcam,exposure,low,genai,0.828534158069417,0.06381727820262312
4fef9ed8a4c5,resnet50,gradcam,exposure,mid,raw,0.31327285924111625,0.09524607074757417
4fef9ed8a4c5,resnet50,gradcam,exposure,mid,clahe,0.5341183331767209,0.4412954104443391
4fef9ed8a4c5,resnet50,gradcam,exposure,mid,genai,0.8451813843551633,0.17736644260585305
4fef9ed8a4c5,resnet50,gradcam,exposure,high,raw,0.5935461393420872,0.10358190859357518
4fef9ed8a4c5,resnet50,gradcam,exposure,high,clahe,0.626841254763123,0.4973719668885072
4fef9ed8a4c5,resnet50,gradcam,exposure,high,genai,0.6979996814296084,0.20717654451727865
4fef9ed8a4c5,resnet50,gradcam,noise,low,raw,0.7969590592004636,0.18750388681267696
4fef9ed8a4c5,resnet50,gradcam,noise,low,clahe,0.5051601301564038,0.3505388846000036
4fef9ed8a4c5,resnet50,gradcam,noise,low,genai,0.6846609377986808,0.21377320584530632
4fef9ed8a4c5,resnet50,gradcam,noise,mid,raw,0.3507836638372611,0.1487747566153606
4fef9ed8a4c5,resnet50,gradcam,noise,mid,clahe,0.7876811892739664,0.2501568337281545
4fef9ed8a4c5,resnet50,gradcam,noise,mid,genai,0.5559644322538809,0.17776936534792184
4fef9ed8a4c5,resnet50,gradcam,noise,high,raw,0.19138624531907517,0.18269823044538494
4fef9ed8a4c5,resnet50,gradcam,noise,high,clahe,0.07022492167492017,0.18645252088705697
4fef9ed8a4c5,resnet50,gradcam,noise,high,genai,0.391011439907804,0.20132748881975812
2c827005b8f8,resnet50,gradcam,blur,low,raw,0.9203361410440836,0.9609543383121489
2c827005b8f8,resnet50,gradcam,blur,low,clahe,0.6600317491818117,0.7893724739551545
2c827005b8f8,resnet50,gradcam,blur,low,genai,0.907393426204202,0.9475767393906911
2c827005b8f8,resnet50,gradcam,blur,mid,raw,0.8648342517467019,0.9392773866653443
2c827005b8f8,resnet50,gradcam,blur,mid,clahe,0.7994939011671446,0.7133411914110184
2c827005b8f8,resnet50,gradcam,blur,mid,genai,0.8292691813482578,0.950646875301997
2c827005b8f8,resnet50,gradcam,blur,high,raw,0.6876561529466446,0.8166983107725779
2c827005b8f8,resnet50,gradcam,blur,high,clahe,0.7544828572915229,0.9152581652005514
2c827005b8f8,resnet50,gradcam,blur,high,genai,0.6897299221211058,0.8950104504823684
2c827005b8f8,resnet50,gradcam,exposure,low,raw,0.9217462821220432,0.9339000284671782
2c827005b8f8,resnet50,gradcam,exposure,low,clahe,0.8843358925666535,0.8757250020901362
2c827005b8f8,resnet50,gradcam,exposure,low,genai,0.893443310868459,0.9362786461909612
2c827005b8f8,resnet50,gradcam,exposure,mid,raw,0.9238902343679779,0.9747834493716557
2c827005b8f8,resnet50,gradcam,exposure,mid,clahe,0.8570805064069928,0.8485045671463012
2c827005b8f8,resnet50,gradcam,exposure,mid,genai,0.8953603364651826,0.9562254021565119
2c827005b8f8,resnet50,gradcam,exposure,high,raw,0.8496591009689132,0.9434695571660996
2c827005b8f8,resnet50,gradcam,exposure,high,clahe,0.7533565834236124,0.37518144523104024
2c827005b8f8,resnet50,gradcam,exposure,high,genai,0.8151279937219708,0.8362726658582686
2c827005b8f8,resnet50,gradcam,noise,low,raw,0.948232962307538,0.9551945259173712
2c827005b8f8,resnet50,gradcam,noise,low,clahe,0.827330259920057,0.8697113891442616
2c827005b8f8,resnet50,gradcam,noise,low,genai,0.9049189724862371,0.7928860376278559
2c827005b8f8,resnet50,gradcam,noise,mid,raw,0.9005916310237028,0.7804154445727667
2c827005b8f8,resnet50,gradcam,noise,mid,clahe,0.007344024418857307,0.5818716657658419
2c827005b8f8,resnet50,gradcam,noise,mid,genai,0.8348569567902114,0.7571639229853947
2c827005b8f8,resnet50,gradcam,noise,high,raw,0.4146444905951297,0.7236597796281178
2c827005b8f8,resnet50,gradcam,noise,high,clahe,-0.10740682686968586,0.41659239890674743
2c827005b8f8,resnet50,gradcam,noise,high,genai,0.45507188611768234,0.6837548742691676
1b495ac025b7,resnet50,gradcam,blur,low,raw,0.838703373526682,0.180976378172636
1b495ac025b7,resnet50,gradcam,blur,low,clahe,0.8877922728050248,0.2520163645346959
1b495ac025b7,resnet50,gradcam,blur,low,genai,0.6027426859817138,0.16708605786164601
1b495ac025b7,resnet50,gradcam,blur,mid,raw,-0.2639253538035103,0.09693600423634052
1b495ac025b7,resnet50,gradcam,blur,mid,clahe,0.7156599890586878,0.2560941718518734
1b495ac025b7,resnet50,gradcam,blur,mid,genai,0.042714995036772424,0.12169023156166077
1b495ac025b7,resnet50,gradcam,blur,high,raw,-0.059672442803253144,0.026448508631438016
1b495ac025b7,resnet50,gradcam,blur,high,clahe,0.2511575306332108,0.12309523746371269
1b495ac025b7,resnet50,gradcam,blur,high,genai,-0.2461966298056422,0.034935644983003535
1b495ac025b7,resnet50,gradcam,exposure,low,raw,0.9239812602669957,0.1752546849350135
1b495ac025b7,resnet50,gradcam,exposure,low,clahe,0.7098982295171488,0.31512657254934306
1b495ac025b7,resnet50,gradcam,exposure,low,genai,0.22815694492481559,0.15286988851924738
1b495ac025b7,resnet50,gradcam,exposure,mid,raw,-0.07545949248445476,0.08403886314481498
1b495ac025b7,resnet50,gradcam,exposure,mid,clahe,0.816693987274925,0.4108877137303353
1b495ac025b7,resnet50,gradcam,exposure,mid,genai,0.463083517661765,0.16105476071437197
1b495ac025b7,resnet50,gradcam,exposure,high,raw,0.3261578077320538,0.10622078391412892
1b495ac025b7,resnet50,gradcam,exposure,high,clahe,0.7254269966938917,0.42009160493810965
