model,degradation,level,variant,accuracy,f1_macro,auc_macro_ovr
resnet50,blur,low,raw,0.6636363636363637,0.3806972787869641,0.8577816798946172
resnet50,blur,low,clahe,0.6659090909090909,0.4151779448621554,0.868691072937995
resnet50,blur,low,genai,0.6613636363636364,0.34542390942390944,0.8368900196547221
resnet50,blur,low,cold_diff,0.6613636363636364,0.3714023724195924,0.8410214629709065
resnet50,blur,low,swinir_gan,0.6022727272727273,0.31721542371889466,0.8176442764853167
resnet50,blur,low,ddpm,0.12954545454545455,0.10883771929824562,0.5221869973934601
resnet50,blur,low,ddpm_path,0.5636363636363636,0.24733205593453747,0.8271400740432435
resnet50,blur,mid,raw,0.5909090909090909,0.29772969119230613,0.8344326536231852
resnet50,blur,mid,clahe,0.6022727272727273,0.3303205134457133,0.7539444673096996
resnet50,blur,mid,genai,0.5477272727272727,0.2332454009142261,0.7895659973063258
resnet50,blur,mid,cold_diff,0.5454545454545454,0.25190491214709243,0.7636520748974236
resnet50,blur,mid,swinir_gan,0.55,0.25662140671461015,0.8135777061559057
resnet50,blur,mid,ddpm,0.11363636363636363,0.0960234873162874,0.5057992486023164
resnet50,blur,mid,ddpm_path,0.5113636363636364,0.18538676236044657,0.7227660123596344
resnet50,blur,high,raw,0.5272727272727272,0.21585733995259604,0.7431345952841807
resnet50,blur,high,clahe,0.46136363636363636,0.21881368162794054,0.6045217804444489
resnet50,blur,high,genai,0.5113636363636364,0.19289413118527043,0.7384186707136241
resnet50,blur,high,cold_diff,0.4659090909090909,0.16695791808010466,0.6463464830473002
resnet50,blur,high,swinir_gan,0.5022727272727273,0.21616483273954032,0.7242747334702593
resnet50,blur,high,ddpm,0.11136363636363636,0.08676110106489854,0.4911068922919455
resnet50,blur,high,ddpm_path,0.47045454545454546,0.14686431378553566,0.6793513227360025
resnet50,exposure,low,raw,0.7522727272727273,0.502544946187325,0.8643954002642807
resnet50,exposure,low,clahe,0.7272727272727273,0.490752703389461,0.865918769296148
resnet50,exposure,low,genai,0.6613636363636364,0.39324590997227143,0.8349951876960715
resnet50,exposure,low,cold_diff,0.6636363636363637,0.3782046681486186,0.8488042780633693
resnet50,exposure,low,swinir_gan,0.5431818181818182,0.2895612272738547,0.7523347717612541
resnet50,exposure,low,ddpm,0.08636363636363636,0.06966284830020464,0.4622769398090962
resnet50,exposure,low,ddpm_path,0.6068181818181818,0.2961944843310655,0.8236024807053202
resnet50,exposure,mid,raw,0.7181818181818181,0.4822188626646831,0.8599166805930494
resnet50,exposure,mid,clahe,0.6795454545454546,0.4499965385946695,0.8704357261200288
resnet50,exposure,mid,genai,0.6090909090909091,0.3376427689868105,0.830999845830449
resnet50,exposure,mid,cold_diff,0.6590909090909091,0.37300341191776015,0.8503167455147878
resnet50,exposure,mid,swinir_gan,0.6113636363636363,0.32982133271988345,0.7986080812891136
resnet50,exposure,mid,ddpm,0.10681818181818181,0.0878895399525557,0.5205523356212914
resnet50,exposure,mid,ddpm_path,0.6045454545454545,0.3115046300656057,0.8229818904563952
resnet50,exposure,high,raw,0.625,0.37576091648001875,0.8562687697577533
resnet50,exposure,high,clahe,0.6545454545454545,0.41239340139511416,0.8369039067119914
resnet50,exposure,high,genai,0.5568181818181818,0.2661946994901017,0.7753158823594071
resnet50,exposure,high,cold_diff,0.615909090909091,0.33180396415672386,0.8401278864111006
resnet50,exposure,high,swinir_gan,0.5909090909090909,0.3177946427394437,0.8110249573459705
resnet50,exposure,high,ddpm,0.1,0.07818320310580372,0.4936176832142172
resnet50,exposure,high,ddpm_path,0.5568181818181818,0.2701534351061395,0.8076523901140658
resnet50,noise,low,raw,0.75,0.4972501090258631,0.8501209767246227
resnet50,noise,low,clahe,0.7318181818181818,0.4916884541400113,0.8615849258833788
resnet50,noise,low,genai,0.6681818181818182,0.3788137675332798,0.8347842264668766
resnet50,noise,low,cold_diff,0.6295454545454545,0.35414148323177047,0.7899283206120555
resnet50,noise,low,swinir_gan,0.6431818181818182,0.36761830380165245,0.8083746223627287
resnet50,noise,low,ddpm,0.11136363636363636,0.09152193502576216,0.5105438610629103
resnet50,noise,low,ddpm_path,0.5886363636363636,0.29078057387371176,0.8306128389708762
resnet50,noise,mid,raw,0.7090909090909091,0.40503024861001513,0.8291908886467937
resnet50,noise,mid,clahe,0.6522727272727272,0.4027560032630803,0.8035855126853162
resnet50,noise,mid,genai,0.634090909090909,0.3421436509329122,0.8259620805143937
resnet50,noise,mid,cold_diff,0.17045454545454544,0.1338647355931589,0.7156148685398752
resnet50,noise,mid,swinir_gan,0.6272727272727273,0.3706164286022665,0.7805281706195781
resnet50,noise,mid,ddpm,0.09318181818181819,0.0798041673902545,0.4842819242170612
resnet50,noise,mid,ddpm_path,0.5681818181818182,0.2665150966172171,0.8204104461497295
resnet50,noise,high,raw,0.2318181818181818,0.16535424842353058,0.7355160685465039
resnet50,noise,high,clahe,0.2727272727272727,0.17983736489963972,0.7131440423749579
resnet50,noise,high,genai,0.5659090909090909,0.2635288138243803,0.7918833918518814
resnet50,noise,high,cold_diff,0.08181818181818182,0.05267040171883054,0.6049541407474772
resnet50,noise,high,swinir_gan,0.20909090909090908,0.14304205882689505,0.6386166661990933
resnet50,noise,high,ddpm,0.12045454545454545,0.09772479050001985,0.511769408823701
resnet50,noise,high,ddpm_path,0.5772727272727273,0.30310255879487413,0.7879318076688764
efficientnet_b3,blur,low,raw,0.05,0.02,0.59958528557759
efficientnet_b3,blur,low,clahe,0.05227272727272727,0.019913419913419914,0.5542092020798364
efficientnet_b3,blur,low,genai,0.056818181818181816,0.03666666666666667,0.6240693902201337
efficientnet_b3,blur,low,cold_diff,0.05227272727272727,0.02072072072072072,0.5937112676143244
efficientnet_b3,blur,low,swinir_gan,0.05454545454545454,0.028087336244541482,0.5686481689087215
efficientnet_b3,blur,low,ddpm,0.05227272727272727,0.019870410367170625,0.5508823076606848
efficientnet_b3,blur,low,ddpm_path,0.05227272727272727,0.019913419913419914,0.5916838552531175
efficientnet_b3,blur,mid,raw,0.05454545454545454,0.03375474083438686,0.5733675556606361
efficientnet_b3,blur,mid,clahe,0.05227272727272727,0.02,0.4930130128814455
efficientnet_b3,blur,mid,genai,0.05909090909090909,0.043660702793152276,0.5370120385728968
efficientnet_b3,blur,mid,cold_diff,0.05227272727272727,0.02017543859649123,0.5455698737081704
efficientnet_b3,blur,mid,swinir_gan,0.05227272727272727,0.019913419913419914,0.5253759774525797
efficientnet_b3,blur,mid,ddpm,0.05227272727272727,0.019870410367170625,0.5028525348985469
efficientnet_b3,blur,mid,ddpm_path,0.05227272727272727,0.019870410367170625,0.5836315349581344
efficientnet_b3,blur,high,raw,0.05909090909090909,0.03929341742430448,0.6144146918235183
efficientnet_b3,blur,high,clahe,0.05227272727272727,0.019870410367170625,0.5338122007554154
efficientnet_b3,blur,high,genai,0.05454545454545454,0.028087336244541482,0.5728296799111916
efficientnet_b3,blur,high,cold_diff,0.05,0.019775280898876403,0.5406903807276833
efficientnet_b3,blur,high,swinir_gan,0.05227272727272727,0.019956616052060738,0.547729620793619
efficientnet_b3,blur,high,ddpm,0.05227272727272727,0.019870410367170625,0.5016918773083789
efficientnet_b3,blur,high,ddpm_path,0.05227272727272727,0.019870410367170625,0.5837116710749293
efficientnet_b3,exposure,low,raw,0.05227272727272727,0.019956616052060738,0.6697763061851868
efficientnet_b3,exposure,low,clahe,0.06136363636363636,0.03312414283978265,0.5849208326506747
efficientnet_b3,exposure,low,genai,0.05227272727272727,0.02013129102844639,0.6285689299369402
efficientnet_b3,exposure,low,cold_diff,0.05227272727272727,0.020353982300884955,0.6095183240218807
efficientnet_b3,exposure,low,swinir_gan,0.05227272727272727,0.020043572984749455,0.4850985077021911
efficientnet_b3,exposure,low,ddpm,0.05227272727272727,0.019870410367170625,0.48433952303365435
efficientnet_b3,exposure,low,ddpm_path,0.05227272727272727,0.019956616052060738,0.6251198486119269
efficientnet_b3,exposure,mid,raw,0.05227272727272727,0.019956616052060738,0.6642225732036401
efficientnet_b3,exposure,mid,clahe,0.045454545454545456,0.017937219730941704,0.6209840076146654
efficientnet_b3,exposure,mid,genai,0.06136363636363636,0.0376308607945585,0.5905763319369074
efficientnet_b3,exposure,mid,cold_diff,0.05227272727272727,0.019913419913419914,0.6164623331540937
efficientnet_b3,exposure,mid,swinir_gan,0.05454545454545454,0.028196785533871484,0.5317011408231325
efficientnet_b3,exposure,mid,ddpm,0.05227272727272727,0.019870410367170625,0.49134605584329005
efficientnet_b3,exposure,mid,ddpm_path,0.05227272727272727,0.019913419913419914,0.6092322756412528
efficientnet_b3,exposure,high,raw,0.056818181818181816,0.02955977615238457,0.6340101428596849
efficientnet_b3,exposure,high,clahe,0.075,0.05897394205921833,0.6070259710828283
efficientnet_b3,exposure,high,genai,0.09772727272727273,0.08420311453811098,0.608686159478866
efficientnet_b3,exposure,high,cold_diff,0.05454545454545454,0.022704995976885377,0.6057018441162406
efficientnet_b3,exposure,high,swinir_gan,0.056818181818181816,0.03651544911989121,0.6083495260772707
efficientnet_b3,exposure,high,ddpm,0.05227272727272727,0.019870410367170625,0.4714397739287202
efficientnet_b3,exposure,high,ddpm_path,0.05454545454545454,0.028609072087332953,0.6092199174775927
efficientnet_b3,noise,low,raw,0.05227272727272727,0.019870410367170625,0.6149888326028403
efficientnet_b3,noise,low,clahe,0.05227272727272727,0.019870410367170625,0.6133963010895498
efficientnet_b3,noise,low,genai,0.05454545454545454,0.021974609000796622,0.6264481045480614
efficientnet_b3,noise,low,cold_diff,0.05454545454545454,0.021974609000796622,0.6277005367568869
efficientnet_b3,noise,low,swinir_gan,0.05227272727272727,0.019913419913419914,0.5714130620912661
efficientnet_b3,noise,low,ddpm,0.05227272727272727,0.019870410367170625,0.5386210306494188
efficientnet_b3,noise,low,ddpm_path,0.05454545454545454,0.021756737885770143,0.6188150238275123
efficientnet_b3,noise,mid,raw,0.05227272727272727,0.019870410367170625,0.6147135429167024
efficientnet_b3,noise,mid,clahe,0.05227272727272727,0.019870410367170625,0.6179469313760766
efficientnet_b3,noise,mid,genai,0.05227272727272727,0.019870410367170625,0.6129667836928535
efficientnet_b3,noise,mid,cold_diff,0.05,0.02754757075243891,0.5447418387718
efficientnet_b3,noise,mid,swinir_gan,0.05227272727272727,0.019870410367170625,0.5872493542171054
efficientnet_b3,noise,mid,ddpm,0.05227272727272727,0.019870410367170625,0.4872094179916385
efficientnet_b3,noise,mid,ddpm_path,0.05227272727272727,0.019913419913419914,0.6119871287526996
efficientnet_b3,noise,high,raw,0.05227272727272727,0.019870410367170625,0.5595479749281526
efficientnet_b3,noise,high,clahe,0.05227272727272727,0.019870410367170625,0.5750066423491081
efficientnet_b3,noise,high,genai,0.05454545454545454,0.028609072087332953,0.5962062552152264
efficientnet_b3,noise,high,cold_diff,0.05454545454545454,0.028609072087332953,0.4993650257877027
efficientnet_b3,noise,high,swinir_gan,0.05227272727272727,0.019870410367170625,0.5183398292842746
efficientnet_b3,noise,high,ddpm,0.05227272727272727,0.019870410367170625,0.5218590507894488
efficientnet_b3,noise,high,ddpm_path,0.05454545454545454,0.021756737885770143,0.6305654131927116
vit_base,blur,low,raw,0.6090909090909091,0.3718223082223611,0.8427697125574987
vit_base,blur,low,clahe,0.6045454545454545,0.38074357119449953,0.845248793728814
vit_base,blur,low,genai,0.575,0.3333402392957291,0.8486785192274737
vit_base,blur,low,cold_diff,0.5909090909090909,0.3640706457279347,0.8569633449783023
vit_base,blur,low,swinir_gan,0.5613636363636364,0.3236264367780088,0.8143538275337516
vit_base,blur,low,ddpm,0.10227272727272728,0.03711340206185567,0.4980190549649194
vit_base,blur,low,ddpm_path,0.5227272727272727,0.20791208791208793,0.8253169181583224
vit_base,blur,mid,raw,0.6386363636363637,0.35324624894491147,0.7629318230779825
vit_base,blur,mid,clahe,0.6409090909090909,0.3260803791304837,0.7006578858911213
vit_base,blur,mid,genai,0.5318181818181819,0.2525500306145467,0.7762030784974671
vit_base,blur,mid,cold_diff,0.5113636363636364,0.2069050803512938,0.7659247772963362
vit_base,blur,mid,swinir_gan,0.5795454545454546,0.27544038758290834,0.7650221795060355
vit_base,blur,mid,ddpm,0.10227272727272728,0.03711340206185567,0.496822538116091
vit_base,blur,mid,ddpm_path,0.4954545454545455,0.13937468982630272,0.6882893754739605
vit_base,blur,high,raw,0.6068181818181818,0.3098834892508297,0.7232403748413504
vit_base,blur,high,clahe,0.5954545454545455,0.3041641987698332,0.6597679130626711
vit_base,blur,high,genai,0.5636363636363636,0.24082601087925407,0.7445835514093984
vit_base,blur,high,cold_diff,0.5022727272727273,0.19372871020648472,0.744524671029185
vit_base,blur,high,swinir_gan,0.5295454545454545,0.21479713505690415,0.7286445880164777
vit_base,blur,high,ddpm,0.10227272727272728,0.03711340206185567,0.43686495185832097
vit_base,blur,high,ddpm_path,0.4772727272727273,0.14464088312668755,0.7117700312708385
vit_base,exposure,low,raw,0.7022727272727273,0.46438354010409305,0.886439450744928
vit_base,exposure,low,clahe,0.6068181818181818,0.4149967806274595,0.893013697888042
vit_base,exposure,low,genai,0.5909090909090909,0.36359464871257324,0.8506569816719016
vit_base,exposure,low,cold_diff,0.6431818181818182,0.42636094194184004,0.8676506642782364
vit_base,exposure,low,swinir_gan,0.55,0.25686830280315504,0.8197723548000291
vit_base,exposure,low,ddpm,0.10227272727272728,0.03711340206185567,0.4992513890255081
vit_base,exposure,low,ddpm_path,0.5636363636363636,0.2934783563816118,0.8448976707499456
vit_base,exposure,mid,raw,0.6522727272727272,0.4303562629503787,0.8763669666422167
vit_base,exposure,mid,clahe,0.5795454545454546,0.36827149693767225,0.8680219801294424
vit_base,exposure,mid,genai,0.5477272727272727,0.28224796791076895,0.824306144781558
vit_base,exposure,mid,cold_diff,0.615909090909091,0.38783108003971056,0.8576561002996594
vit_base,exposure,mid,swinir_gan,0.5636363636363636,0.2571021018782213,0.8223737695832334
vit_base,exposure,mid,ddpm,0.10227272727272728,0.03711340206185567,0.47772684423455625
vit_base,exposure,mid,ddpm_path,0.5318181818181819,0.23121159925510879,0.83469255052353
vit_base,exposure,high,raw,0.5977272727272728,0.3729287439613526,0.8513311060506977
vit_base,exposure,high,clahe,0.55,0.2884387176381952,0.8254090228213304
vit_base,exposure,high,genai,0.5318181818181819,0.2321846558384483,0.8044804202925052
vit_base,exposure,high,cold_diff,0.6022727272727273,0.36007191545743333,0.8437875103728472
vit_base,exposure,high,swinir_gan,0.5977272727272728,0.31427733844259764,0.8234323262617235
vit_base,exposure,high,ddpm,0.10227272727272728,0.03711340206185567,0.5020922393103484
vit_base,exposure,high,ddpm_path,0.55,0.24304635761589405,0.8149999682634764
vit_base,noise,low,raw,0.7045454545454546,0.45462264081277315,0.8518415305478568
vit_base,noise,low,clahe,0.6977272727272728,0.46608034797908215,0.8796720958825446
vit_base,noise,low,genai,0.6068181818181818,0.37498582377801176,0.8528067948433767
vit_base,noise,low,cold_diff,0.615909090909091,0.3488555609762859,0.792904276685561
vit_base,noise,low,swinir_gan,0.6022727272727273,0.363085193777187,0.8215421595296061
vit_base,noise,low,ddpm,0.10227272727272728,0.03711340206185567,0.5046579456695307
vit_base,noise,low,ddpm_path,0.5659090909090909,0.29016643205529785,0.8532144466817366
vit_base,noise,mid,raw,0.6795454545454546,0.4256655102595207,0.8240127175707688
vit_base,noise,mid,clahe,0.6318181818181818,0.377459697151328,0.7951733805173868
vit_base,noise,mid,genai,0.5681818181818182,0.3236611892568713,0.8101898817311455
vit_base,noise,mid,cold_diff,0.38181818181818183,0.24930608357718329,0.7295656410504241
vit_base,noise,mid,swinir_gan,0.6522727272727272,0.39427752864416504,0.7665753129895942
vit_base,noise,mid,ddpm,0.10227272727272728,0.03711340206185567,0.49496975652566116
vit_base,noise,mid,ddpm_path,0.5340909090909091,0.2361969439728353,0.8068421877071277
vit_base,noise,high,raw,0.5545454545454546,0.34179049657899524,0.7570552478912764
vit_base,noise,high,clahe,0.2636363636363636,0.1745003582039247,0.7060542644500953
vit_base,noise,high,genai,0.5295454545454545,0.23628246753246757,0.8141858235569612
vit_base,noise,high,cold_diff,0.08636363636363636,0.05832334407335758,0.6283245363625427
vit_base,noise,high,swinir_gan,0.5045454545454545,0.30113329720831894,0.7192968593150175
vit_base,noise,high,ddpm,0.10227272727272728,0.03711340206185567,0.502582097488386
vit_base,noise,high,ddpm_path,0.55,0.2668484114827808,0.7779780617494408
