epoch,train_loss,accuracy,f1_macro,auc_macro_ovr,lr
1,1.7995875219019448,0.13636363636363635,0.10930105136132892,0.44815981909596936,2.3757264018058777e-07
2,1.5122939454055413,0.13863636363636364,0.11326231753462657,0.46131642598289596,4.7514528036117553e-07
3,1.4147278555428109,0.15227272727272728,0.12870982842091855,0.4904811673280568,7.127179205417633e-07
4,1.3074648382024068,0.21136363636363636,0.18498845172604322,0.5312125973691726,9.502905607223511e-07
5,1.3371500871239639,0.29772727272727273,0.2424677859294521,0.587713731764463,1.1878632009029388e-06
6,1.2866367823903153,0.38181818181818183,0.29382220903643985,0.651598495108454,1.1831798728346089e-06
7,1.2432816719427342,0.4636363636363636,0.34966051882530236,0.7181152504426402,1.1692037475109408e-06
8,1.201017084121704,0.5409090909090909,0.3707029801808356,0.7747341552172089,1.1461552367772215e-06
9,1.2117219842352518,0.6181818181818182,0.4368050788434874,0.8196452910693802,1.1143978294162349e-06
10,1.1816441283574919,0.6840909090909091,0.48802775195057013,0.8552989252898046,1.0744323587130193e-06
11,1.142857328275355,0.7386363636363636,0.5503844870894679,0.880609192419248,1.0268891040147794e-06
12,1.158919816831263,0.7545454545454545,0.5618653470161069,0.896937289728777,9.725178508490698e-07
13,1.1327595409532873,0.7659090909090909,0.5691208646820568,0.9086483586797123,9.121760663581262e-07
14,1.1162445068940883,0.7818181818181819,0.5886529816249888,0.9178702438297515,8.468153765298058e-07
15,1.08457544978072,0.8,0.6206927933540726,0.9237402974172945,7.774665584872847e-07
16,1.0951671137460848,0.8022727272727272,0.6250092170826116,0.927118290582382,7.052232845180692e-07
17,1.0849998362471418,0.8068181818181818,0.6399393604835615,0.9293891074049172,6.312248742086938e-07
18,1.0616037496706334,0.8159090909090909,0.6537818000288496,0.9309663644106598,5.56638326694245e-07
19,1.1228378136565045,0.8204545454545454,0.6584545079676063,0.9327057817661505,4.826399163848696e-07
20,1.007500019654995,0.8136363636363636,0.6510856951626259,0.9339364874322117,4.103966424156542e-07
21,1.0265208425754455,0.8136363636363636,0.6575651057937728,0.9343502655602727,3.41047824373133e-07
22,1.0382540449282018,0.8090909090909091,0.6483672485181623,0.934614135076532,2.756871345448124e-07
23,1.0279103497179543,0.8090909090909091,0.6483672485181623,0.934682100385051,2.1534535005386907e-07
24,1.0255390325406704,0.8159090909090909,0.6601166262712719,0.9346609403802209,1.6097409688815968e-07
25,1.0212774620986567,0.8181818181818182,0.6650411031124726,0.9347207839969656,1.1343084218991952e-07
26,1.001935498656296,0.8181818181818182,0.6698426407589755,0.9348410029996937,7.346537148670391e-08
27,1.0458178151526103,0.8181818181818182,0.6698426407589755,0.9348686837068918,4.1707964125717226e-08
28,1.0019666678731034,0.8227272727272728,0.68048423058942,0.9347377053733317,1.865945339199808e-08
29,1.0454134221193268,0.8227272727272728,0.681155023462282,0.9346701724317272,4.683328068330089e-09
30,1.009721248091721,0.8227272727272728,0.6762495543359459,0.935010320642067,0.0
