epoch,train_loss,accuracy,f1_macro,auc_macro_ovr,lr
1,2.9830832006873154,0.12045454545454545,0.114434721180668,0.4752477445138895,6.666666666666667e-05
2,2.1795318091787945,0.17954545454545454,0.15104660687034138,0.5089329867862814,0.00013333333333333334
3,1.5821864535168904,0.17954545454545454,0.14553297594033324,0.5117383430432099,0.0002
4,1.370641557530659,0.31136363636363634,0.16698456232584008,0.5381985457153896,0.0001989821441880933
5,1.3050045412342723,0.2863636363636364,0.13295439915096474,0.5946884543389094,0.00019594929736144976
6,1.2067025482363818,0.4113636363636364,0.22566109625585745,0.6262587221669227,0.00019096319953545185
7,1.217219597072136,0.3977272727272727,0.17653098643197654,0.6915859853062264,0.00018412535328311814
8,1.187333923491036,0.48409090909090907,0.2422078196169623,0.719837538282409,0.00017557495743542585
9,1.176324212609268,0.5886363636363636,0.2903921514162733,0.7703285432193575,0.00016548607339452853
10,1.1438846899823445,0.4022727272727273,0.17819452533488642,0.7931495127035448,0.00015406408174555976
11,1.0382830871023783,0.3613636363636364,0.16143400999177893,0.806096751185138,0.00014154150130018866
12,1.075892069979412,0.615909090909091,0.29954657199966117,0.8451827705298861,0.00012817325568414297
13,1.0879950839135706,0.7204545454545455,0.3775202916741378,0.8667823439328671,0.00011423148382732853
14,1.0810090590686332,0.7318181818181818,0.3827198265262782,0.871359669068467,0.0001
15,1.0380372745234792,0.7386363636363636,0.39705691231275214,0.8893591477348022,8.57685161726715e-05
16,1.0216955284956024,0.7545454545454545,0.43070136688114224,0.8993996630170443,7.182674431585704e-05
17,0.9559600916141417,0.7636363636363637,0.46762136351280165,0.9064240942938133,5.845849869981137e-05
18,1.0330458403796685,0.7545454545454545,0.47439390903626527,0.9107256780133802,4.593591825444028e-05
19,0.9411984024978266,0.7522727272727273,0.5184949926688853,0.91498625464673,3.45139266054715e-05
20,0.9989813304528957,0.740909090909091,0.5238283758517118,0.923723695413365,2.4425042564574184e-05
21,0.9869627394327303,0.740909090909091,0.54098742310155,0.9216498727429071,1.587464671688187e-05
22,0.9695404403965647,0.7613636363636364,0.5476303470540758,0.9292261373396566,9.036800464548157e-06
23,1.019081409268263,0.7613636363636364,0.580379345421154,0.9273235090241319,4.050702638550275e-06
24,0.9725464899947004,0.7659090909090909,0.5637337485197131,0.9310087322040668,1.0178558119067315e-06
25,0.9725296139135593,0.775,0.5951570613647673,0.9275770865047239,0.0
