epoch,train_loss,accuracy,f1_macro,auc_macro_ovr,lr
1,1.7631938847099862,0.22954545454545455,0.10314750290360046,0.44211978581193456,2.3757264018058777e-07
2,1.5201766072249994,0.22954545454545455,0.11180824639841033,0.4519740087411792,4.7514528036117553e-07
3,1.4054696729706555,0.22954545454545455,0.11572790845518117,0.4790955801508708,7.127179205417633e-07
4,1.3444340536071033,0.2318181818181818,0.12032646568701713,0.5183015513426849,9.502905607223511e-07
5,1.3297204487498213,0.2409090909090909,0.12915247445401723,0.5634590356454799,1.1878632009029388e-06
6,1.2664514560234257,0.26590909090909093,0.15493463639743513,0.6187195880375913,1.1831798728346089e-06
7,1.2581310714163432,0.32272727272727275,0.20285850827830504,0.6818747037434305,1.1692037475109408e-06
8,1.2106501953194782,0.4090909090909091,0.26515542377260354,0.7403899792678074,1.1461552367772215e-06
9,1.17201711049894,0.5022727272727273,0.33008048225868025,0.7961063260564913,1.1143978294162349e-06
10,1.1852736201518919,0.5886363636363636,0.42175035214668766,0.8349686806379868,1.0744323587130193e-06
11,1.145683597355354,0.6477272727272727,0.4539931386189676,0.865363883293478,1.0268891040147794e-06
12,1.1227670496266062,0.7090909090909091,0.4945570877370372,0.8869888142734149,9.725178508490698e-07
13,1.114575584807047,0.7363636363636363,0.5241415882646716,0.9011954557457595,9.121760663581262e-07
14,1.108128581512265,0.7545454545454545,0.5331750789442945,0.9113326150550982,8.468153765298058e-07
15,1.0938804964321416,0.7681818181818182,0.5458518697786499,0.9172799877521886,7.774665584872847e-07
16,1.0760627810547991,0.7727272727272727,0.5536224870301311,0.9216497862363928,7.052232845180692e-07
17,1.0700812821271943,0.7772727272727272,0.5654266259397673,0.9245454504527653,6.312248742086938e-07
18,1.0866452547399008,0.7818181818181819,0.5748848518856235,0.9274899851380305,5.56638326694245e-07
19,1.0680705940432664,0.7886363636363637,0.5962037626222758,0.9303478604668435,4.826399163848696e-07
20,1.0593375112952255,0.7886363636363637,0.5968788066178354,0.9320331228659589,4.103966424156542e-07
21,1.0464901890405796,0.7909090909090909,0.5995825535966381,0.933670020098903,3.41047824373133e-07
22,1.087547224323924,0.7954545454545454,0.6136162278736719,0.9347067962924738,2.756871345448124e-07
23,1.0797501694283835,0.8,0.6241344681908799,0.9355835500994008,2.1534535005386907e-07
24,1.0411105971220063,0.8022727272727272,0.6319352894276349,0.9365835841730427,1.6097409688815968e-07
25,1.0074172211856376,0.8022727272727272,0.6362888606748938,0.9372695598868251,1.1343084218991952e-07
26,0.9481587370430551,0.8,0.6334933917333747,0.9380405300829298,7.346537148670391e-08
27,1.0576416745999964,0.7954545454545454,0.6247557878566377,0.9384697138056733,4.1707964125717226e-08
28,1.0453248904391033,0.8022727272727272,0.6428482664642667,0.9387781236127101,1.865945339199808e-08
29,1.0293399650294606,0.8022727272727272,0.6443909621564449,0.9392076834367838,4.683328068330089e-09
30,1.0361934795612242,0.8022727272727272,0.6443909621564449,0.939171837244871,0.0
