degradation,level,id_code,raw_psnr,raw_ssim,clahe_psnr,clahe_ssim,genai_psnr,genai_ssim,cold_diff_psnr,cold_diff_ssim,swinir_gan_psnr,swinir_gan_ssim,ddpm_psnr,ddpm_ssim,ddpm_path_psnr,ddpm_path_ssim
blur,low,9b70f84400af,32.5065357713399,0.90397596,19.339730898359043,0.59964013,34.43182262448832,0.90970176,33.14231566542282,0.8954456,31.51219263991871,0.8830583,8.040924709981844,0.019115372,32.84518691055014,0.900997
blur,low,3f3de2a6b0f5,34.789765585662536,0.88682145,20.263481745591974,0.7324648,35.70985582481913,0.90087175,34.24182026919831,0.87645406,33.619503232691265,0.86303765,9.401669981119296,0.02649203,34.327803870865914,0.88323087
blur,low,bcd503c726ba,29.547347205682293,0.84916776,20.131921450452207,0.5659829,32.37360480736324,0.7999833,32.30444512337242,0.8252159,28.814550486131335,0.8090902,8.426875414277262,0.02289719,31.28446841489702,0.81673497
blur,low,96ea316ed0ab,33.292486067673714,0.9000206,21.654608410281924,0.37845954,35.53811288523181,0.9007621,34.78307411428796,0.88979274,32.77898762496805,0.8808551,6.982158302693001,0.012231891,34.56102431103549,0.90301865
blur,low,b3819a805dca,33.96734878782186,0.91425896,22.168933090871008,0.7745595,34.70425682344952,0.91169816,33.862611537713285,0.89000446,33.129066590650424,0.88973427,10.518075802314456,0.031107754,33.67250190512217,0.89550275
blur,low,a4359815f152,36.535690655967585,0.91128856,19.350774996055364,0.73122597,36.97402367588697,0.92072433,35.75541492882836,0.9015936,25.749863287142958,0.8313675,8.667421823953719,0.022745186,35.98691344182548,0.9012118
blur,low,72595230840c,35.05480751768034,0.89120203,20.148802729977188,0.72296005,34.94259445252344,0.8819204,35.39939122748088,0.8763823,33.96163396154146,0.86170053,9.911904716195497,0.028842406,35.01954046436778,0.8840546
blur,low,4276b82e4489,31.93928170293087,0.9041378,22.17774552584947,0.37874034,34.47369477235903,0.8919695,34.6321305082637,0.89047956,31.591841846398236,0.8860281,6.982790218303416,0.011354663,33.664916422306675,0.901094
blur,low,e4b0df29b96f,30.911699023940415,0.8696027,21.10267185547102,0.6312024,33.586702802789866,0.86216813,33.5267442209806,0.8494323,30.973601564584197,0.8577742,8.863360105682744,0.023614047,33.046444621955786,0.86236405
blur,low,d6f6bdfd8011,30.642620633451727,0.85364217,21.153919266679075,0.6475219,33.1110055331508,0.84255475,32.95001121316301,0.83351547,30.571399424405016,0.8369904,9.201223769801043,0.026520297,32.43139845518007,0.8441107
blur,low,883c6a184f16,31.803595463286985,0.86079335,20.58913903861288,0.55723095,33.538393809348214,0.8351145,33.86045077542061,0.8265438,31.666947205048523,0.83468074,8.356840243276217,0.021273768,33.28534530964643,0.84592706
blur,low,3ddb86eb530e,36.39707497428455,0.90498143,19.946862595251538,0.74876136,37.220471595474685,0.9147055,36.30834625618317,0.89833593,34.70583869429508,0.883847,9.19156122361424,0.025449013,36.14565246172744,0.90227824
blur,low,842d697884f6,30.843084026711555,0.85418767,20.22817384020016,0.4941508,32.86884133117931,0.8072462,33.37933278781965,0.81008106,30.58366550952483,0.81771404,8.05023581783496,0.021390706,32.16803115955137,0.8244718
blur,low,d18e5b68f6d2,36.159713514926054,0.92928296,20.30470826909269,0.756061,36.528813115611484,0.92455214,35.92912752161554,0.90743285,34.851599352715525,0.9046745,9.785874389455238,0.027858438,36.27833495916601,0.92560345
blur,low,bc73ce76ec43,31.018058362957227,0.8466614,20.607725867203875,0.5361023,32.950440634841705,0.81414866,33.19042129146353,0.8082459,30.82146993073414,0.81913453,8.281803357808547,0.022763213,32.41432759692283,0.8269512
blur,low,3f6bccf21ce8,29.720064092147172,0.82502913,20.753795687051905,0.5354106,31.324359396436748,0.79602504,31.913001232385483,0.7935408,29.32100182134068,0.7955661,7.979418214397553,0.021111475,31.151240615210575,0.8099654
blur,low,e2856afe62c5,30.663630781918517,0.902112,21.389256493722147,0.5779306,34.39569057813779,0.8204761,33.501074304421586,0.85526896,30.19098684538313,0.871026,8.133911323832963,0.022113644,32.9487550939985,0.8659001
