degradation,level,efficientnet_b3,resnet50,vit_base
blur,high,0.477,0.461,0.582
blur,low,0.65,0.802,0.7
blur,mid,0.495,0.52,0.573
clean,none,0.516,0.639,0.661
exposure,high,0.639,0.786,0.725
exposure,low,0.791,0.859,0.809
exposure,mid,0.752,0.843,0.795
noise,high,0.543,0.493,0.493
noise,low,0.734,0.848,0.777
noise,mid,0.634,0.68,0.605
