epoch,train_loss,accuracy,f1_macro,kappa_qw,auc_macro_ovr,lr
1,1.8243985571512362,0.07954545454545454,0.056643678160919544,-0.017590644824673207,0.5527729034664247,5e-05
2,1.3863462906348996,0.22727272727272727,0.12458306259475851,-0.04311377245508985,0.697093081866975,0.0001
3,1.2743298145619835,0.275,0.10848293549023476,0.029204397916084535,0.8480182773648058,9.924038765061042e-05
4,1.1886860784670201,0.6363636363636364,0.3046052246603971,0.637229127452048,0.9108414806806386,9.698463103929542e-05
5,1.110965291465201,0.7636363636363637,0.4536980856589719,0.8230318127562406,0.9302712470901836,9.330127018922194e-05
6,1.0198934236386927,0.7795454545454545,0.5429784687092739,0.8523618476896624,0.9387338819823021,8.83022221559489e-05
7,0.9893286002554544,0.7818181818181819,0.5555264108872929,0.8489065320417395,0.9421193463962071,8.213938048432697e-05
8,0.8800846176321914,0.7886363636363637,0.5821096106746512,0.870738497265084,0.944177070162679,7.500000000000001e-05
9,0.8836285733740504,0.7954545454545454,0.6004880926713386,0.873456553416673,0.9451583378120553,6.710100716628344e-05
10,0.7957775154346373,0.8,0.6040350534574837,0.8773108775060647,0.9468566991386667,5.868240888334653e-05
11,0.768839601074777,0.8045454545454546,0.6223320917426467,0.8860638870858595,0.9476924085431968,5e-05
12,0.6991531585774771,0.8204545454545454,0.6670937499490155,0.9041675952752396,0.948127107892511,4.131759111665349e-05
13,0.6936042422783084,0.8181818181818182,0.66361418648686,0.9072986549346711,0.9473954514287932,3.289899283371657e-05
14,0.6609713598867742,0.8204545454545454,0.6580919921062135,0.9095932699439384,0.9464512862170269,2.500000000000001e-05
15,0.6584555335161163,0.825,0.6615643647817044,0.9135358379962697,0.942427105495147,1.7860619515673033e-05
16,0.576059395452825,0.8227272727272728,0.6573170259622646,0.9079522556718147,0.9374193502709558,1.1697777844051105e-05
17,0.64133431710848,0.8318181818181818,0.681951983690432,0.9157795221070433,0.9324469583204555,6.698729810778065e-06
18,0.6693116120158172,0.8431818181818181,0.7035212987325663,0.9223445736868844,0.9288661755087212,3.0153689607045845e-06
19,0.6335132381392689,0.85,0.7102813503033343,0.9246426454120282,0.9262891119958685,7.596123493895991e-07
20,0.6122992819111521,0.8522727272727273,0.7115803124394205,0.9254865079939232,0.9234548136512574,0.0
