epoch,train_loss,accuracy,f1_macro,kappa_qw,auc_macro_ovr,lr
1,1.8819096558268478,0.17045454545454544,0.09849262613585398,0.011021483404902832,0.5882526917572131,5e-05
2,1.524756335863253,0.4159090909090909,0.18859750796870473,0.2721900142928262,0.6945945421589711,0.0001
3,1.3806263010676314,0.6136363636363636,0.2979864127322402,0.5780359491451117,0.7934653407584605,9.924038765061042e-05
4,1.2646828728187376,0.6772727272727272,0.3030485607815745,0.6080336896663427,0.8604362679946981,9.698463103929542e-05
5,1.138504991531372,0.55,0.24794296612478428,0.31068295312124583,0.8905267115749943,9.330127018922194e-05
6,1.133815382980719,0.625,0.34833436504115367,0.4275318198950451,0.9033363593507726,8.83022221559489e-05
7,1.1342958004881696,0.6681818181818182,0.3914308771339459,0.6082452747882363,0.9207622220861168,8.213938048432697e-05
8,1.0401047015771634,0.6431818181818182,0.4216919068765702,0.6217180549524066,0.9245994448417122,7.500000000000001e-05
9,0.9595173349613096,0.6090909090909091,0.38058688693135506,0.5010226021291102,0.9212119304406295,6.710100716628344e-05
10,0.9622412968844902,0.6272727272727273,0.39909469408479314,0.5322725568298394,0.9240158666556784,5.868240888334653e-05
11,0.9493186127267232,0.6590909090909091,0.48469388629955984,0.6379294130291673,0.9317576269763439,5e-05
12,0.9471879707313166,0.6795454545454546,0.509774373989966,0.667538924506084,0.9335991261009544,4.131759111665349e-05
13,0.8852969825558547,0.6681818181818182,0.48765846292034193,0.668289069939689,0.932501900462358,3.289899283371657e-05
14,0.8605676015993444,0.7068181818181818,0.5406094085169586,0.769849597761455,0.9382914589065189,2.500000000000001e-05
15,0.8559080330918475,0.6954545454545454,0.5292626857768212,0.7426154430734155,0.9347549850882902,1.7860619515673033e-05
16,0.9146673565376096,0.7454545454545455,0.5880403506040377,0.8582200167558162,0.9417325520290131,1.1697777844051105e-05
17,0.8445844974750426,0.7477272727272727,0.5964651452470422,0.8678235792615828,0.9430691810029934,6.698729810778065e-06
18,0.8758372548731362,0.7386363636363636,0.5738738839443064,0.8690549645058554,0.9419248013851268,3.0153689607045845e-06
19,0.834561370756568,0.7431818181818182,0.5745289814985555,0.8655935222278284,0.9418075394662224,7.596123493895991e-07
20,0.8537317877281003,0.7522727272727273,0.582264748270515,0.8636065254917216,0.9423552181102707,0.0
