epoch,train_loss,accuracy,f1_macro,auc_macro_ovr
1,1.4875876954656828,0.7494305239179955,0.5005775058291215,0.9045238760692621
2,0.6990730467363175,0.7904328018223234,0.6043858053116566,0.9249617279640443
3,0.5952854479497869,0.8109339407744874,0.6298305181354319,0.9418223135482933
4,0.484932272290161,0.8109339407744874,0.6327949176466328,0.9273398439930458
5,0.4285519910253744,0.8154897494305239,0.6562165617986877,0.9229179192284693
6,0.37603533116929944,0.8177676537585421,0.6780907281442834,0.9266311589324834
7,0.3445222947100217,0.8177676537585421,0.6757906746818965,0.9198773987398635
8,0.32904079736557157,0.8154897494305239,0.6723586907031317,0.9292356874422147
9,0.3188179758092349,0.8132118451025057,0.6886717665092382,0.9277655250468401
10,0.3024183773157889,0.8086560364464692,0.6541741585768761,0.9174327603748832
11,0.2918585943199738,0.8109339407744874,0.6797232938911396,0.921210692872191
12,0.2771704438601786,0.7972665148063781,0.6505308497134967,0.916988788541607
13,0.27689729227192456,0.8154897494305239,0.6637412532071154,0.9168957712538305
14,0.27279263333967557,0.8200455580865603,0.6799699355055236,0.9191116378132586
15,0.27243925326051766,0.8154897494305239,0.6652944078186952,0.9152526481765738
