epoch,train_loss,accuracy,f1_macro,auc_macro_ovr
1,1.4961475549850316,0.5398633257403189,0.2562569373815805,0.7271554235862833
2,1.2541972089696813,0.5671981776765376,0.2685440207156309,0.7614665059658587
3,1.1114421978331448,0.6560364464692483,0.31088576315800126,0.8060025971873903
4,1.072825658507282,0.6674259681093394,0.29586024498886415,0.7945958833113613
5,1.0207258231110043,0.6605922551252847,0.2895198329853862,0.8170196097644353
6,0.9831449337172926,0.6332574031890661,0.27367439933719967,0.8017474358840854
7,0.9533539185514692,0.6902050113895216,0.3979232422723979,0.8520961898915524
8,0.9435314448953372,0.6947608200455581,0.31132475998740017,0.8515204168587477
9,0.9264354146944385,0.6993166287015945,0.31140304926801027,0.8522964854728885
10,0.8854133516956724,0.7129840546697038,0.31928455017324736,0.8683310490147095
11,0.8758747021124842,0.715261958997722,0.3209172030227251,0.8665354204041951
12,0.852275853152396,0.7129840546697038,0.31899032532134736,0.8641868185322134
13,0.8397433132688437,0.724373576309795,0.3530745849894786,0.8746320312034174
14,0.820538522207249,0.7175398633257403,0.3563477504726647,0.873368510971595
15,0.8080403472480253,0.7175398633257403,0.3563477504726647,0.8745329835273032
